Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",-1.479972,0.790165,180.000000,bottom
"J1","Power_inlet_vertical","Wurth-694106402002",-4.720465,0.793402,-90.000000,bottom
"C1","C_0805_0.1uf","C_0805_2012Metric",4.951740,2.536402,0.000000,top
"C2","C_0805_1uf","C_0805_2012Metric",4.890417,1.088402,180.000000,top
"C3","C_0805_0.1uf","C_0805_2012Metric",5.014417,1.611937,90.000000,top
"C4","C_0805_0.1uf","C_0805_2012Metric",3.850740,3.049402,90.000000,top
"C5","C_0805_0.1uf","C_0805_2012Metric",3.945740,3.049402,90.000000,top
"C6","C_0805_22pf","C_0805_2012Metric",3.800740,2.017402,0.000000,top
"C7","C_0805_22pf","C_0805_2012Metric",4.200740,2.017402,0.000000,top
"C8","C_0805_0.1uf","C_0805_2012Metric",0.631740,1.943402,180.000000,top
"C9","C_0805_10uf","C_0805_2012Metric",0.481740,1.943402,180.000000,top
"D1","LED_0805","LED_0805_2012Metric",4.034740,3.123402,90.000000,top
"DS1","LED_Display_1001","Adafruit-1001-0-0-MFG",2.622740,1.490165,90.000000,top
"J2","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",5.191740,3.036402,0.000000,top
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",4.205543,3.329811,0.000000,top
"R1","R_0805_2.2K","R_0805_2012Metric",4.034740,3.257402,90.000000,top
"R2","PhotoconductivePhotocell","R_LDR_4.9x4.2mm_P2.54mm_Vertical",3.595795,2.997402,0.000000,top
"R3","R_0805_100K","R_0805_2012Metric",3.733740,3.246402,90.000000,top
"R4","R_0805_47","R_0805_2012Metric",4.948740,2.637402,0.000000,top
"R5","R_0805_47","R_0805_2012Metric",4.949740,2.732402,0.000000,top
"R6","R_0805_10K","R_0805_2012Metric",2.071740,0.698402,0.000000,top
"R7","R_0805_10K","R_0805_2012Metric",2.682740,0.700402,0.000000,top
"R8","R_0805_10K","R_0805_2012Metric",3.281740,0.701402,0.000000,top
"R9","R_0805_4.7K","R_0805_2012Metric",3.248740,3.221937,-90.000000,top
"R10","R_0805_4.7K","R_0805_2012Metric",3.149740,3.082402,-90.000000,top
"R11","R_0805_10K","R_0805_2012Metric",3.144740,2.289402,90.000000,top
"R12","R_0805_22K","R_0805_2012Metric",0.631740,2.043402,0.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.598740,2.943402,0.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.352740,0.794402,0.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.952740,0.794402,0.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.552740,0.794402,0.000000,top
"U1","L7805","TO-252-2",4.848417,1.348402,180.000000,top
"U2","DS1307_DIP-8","DIP-8_W7.62mm",1.904134,3.156008,0.000000,top
"U3","ATmega328-PU","DIP-28_W7.62mm",3.149134,2.443795,90.000000,top
"U4","MAX7219","DIP-24_W7.62mm",1.081346,1.443205,180.000000,top
"Y1","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",1.753740,3.106402,-90.000000,top
"Y2","Crystal_16MHz","Crystal_SMD_HC49-SD",4.003740,2.228402,0.000000,top
